Date,Description,Amount,Type
2026-01-01,Salary Credit - TechCorp Solutions,76500,Credit
2026-01-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-01-03,HDFC Home Loan EMI January,18500,Debit
2026-01-04,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-01-05,BigBasket Grocery Order,2850,Debit
2026-01-06,Freelance Payment - Upwork,10000,Credit
2026-01-07,Airtel Broadband Bill January,999,Debit
2026-01-08,Jio Mobile Recharge,299,Debit
2026-01-08,Uber Ride - Office Commute,245,Debit
2026-01-10,Netflix Subscription,649,Debit
2026-01-10,Ola Cab,380,Debit
2026-01-11,Spotify Premium,119,Debit
2026-01-12,Zomato Order - Dinner,480,Debit
2026-01-14,Amazon Prime Subscription,299,Debit
2026-01-14,Swiggy - Sunday Lunch,320,Debit
2026-01-14,Rapido Bike,85,Debit
2026-01-15,Amazon.in Order - Books,1200,Debit
2026-01-16,BESCOM Electricity Bill,1240,Debit
2026-01-17,Uber Ride - Weekend,320,Debit
2026-01-18,BigBasket Weekly Groceries,1950,Debit
2026-01-18,BBMP Water Bill,350,Debit
2026-01-20,LIC Premium - Term Insurance,3200,Debit
2026-01-20,Zomato Order,650,Debit
2026-01-21,IRCTC Train Ticket Bengaluru to Chennai,650,Debit
2026-01-22,Myntra - Winter Clothes,2400,Debit
2026-01-22,Blinkit Quick Grocery,780,Debit
2026-01-24,Ola Cab,290,Debit
2026-01-25,Starbucks Coffee,480,Debit
2026-01-26,Restaurant - Friends Dinner,1850,Debit
2026-01-27,Rapido Bike Ride,65,Debit
2026-01-28,Swiggy - Late Night Order,290,Debit
2026-01-29,Apollo Pharmacy - Medicines,580,Debit
2026-02-01,Salary Credit - TechCorp Solutions,76500,Credit
2026-02-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-02-03,HDFC Home Loan EMI February,18500,Debit
2026-02-04,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-02-04,BigBasket Grocery Order,2200,Debit
2026-02-06,Uber Ride - Office,180,Debit
2026-02-07,Airtel Broadband Bill February,999,Debit
2026-02-08,Jio Mobile Recharge,299,Debit
2026-02-10,Netflix Subscription,649,Debit
2026-02-10,Zomato Order - Valentine Special,1850,Debit
2026-02-11,Spotify Premium,119,Debit
2026-02-11,Ola Cab - Airport Drop,850,Debit
2026-02-12,Amazon.in Order - Accessories,1800,Debit
2026-02-13,Swiggy - Lunch,350,Debit
2026-02-14,Amazon Prime Subscription,299,Debit
2026-02-14,IndiGo Airlines - Bengaluru to Goa,4500,Debit
2026-02-14,Airbnb - Goa Stay 2 Nights,5200,Debit
2026-02-15,BESCOM Electricity Bill,1450,Debit
2026-02-17,BigBasket Weekly Groceries,1800,Debit
2026-02-19,Flipkart - Smart Watch,2200,Debit
2026-02-19,Uber Ride,290,Debit
2026-02-20,Zomato Order,420,Debit
2026-02-21,BBMP Water Bill,290,Debit
2026-02-22,Blinkit,650,Debit
2026-02-24,Rapido Bike,90,Debit
2026-02-25,Cafe Coffee Day,340,Debit
2026-02-28,Restaurant - Team Lunch,2200,Debit
2026-03-01,Salary Credit - TechCorp Solutions,76500,Credit
2026-03-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-03-03,HDFC Home Loan EMI March,18500,Debit
2026-03-04,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-03-05,BigBasket Grocery Order,3200,Debit
2026-03-07,Airtel Broadband Bill March,999,Debit
2026-03-08,Jio Mobile Recharge,299,Debit
2026-03-09,Uber Ride,220,Debit
2026-03-10,Annual Performance Bonus - TechCorp,30000,Credit
2026-03-10,Netflix Subscription,649,Debit
2026-03-10,Groww - ELSS Tax Saving Fund,10000,Debit
2026-03-11,Spotify Premium,119,Debit
2026-03-11,Zomato Order,550,Debit
2026-03-12,Amazon.in - Phone Accessories,1500,Debit
2026-03-13,Ola Cab,340,Debit
2026-03-14,Amazon Prime Subscription,299,Debit
2026-03-14,Swiggy - Lunch,380,Debit
2026-03-15,Apollo Pharmacy,750,Debit
2026-03-16,BESCOM Electricity Bill,980,Debit
2026-03-16,Rapido Bike,70,Debit
2026-03-18,BigBasket Weekly Groceries,2100,Debit
2026-03-18,Myntra - Casual Shoes,3500,Debit
2026-03-20,Zomato Order - Weekend,720,Debit
2026-03-20,Uber Ride,480,Debit
2026-03-22,Flipkart - Air Purifier,4200,Debit
2026-03-22,Blinkit,890,Debit
2026-03-24,Starbucks Coffee,520,Debit
2026-03-25,Rapido,95,Debit
2026-03-25,Cult Fit Gym Membership,2000,Debit
2026-03-27,Restaurant - Birthday Dinner,3200,Debit
2026-03-28,BBMP Water Bill,320,Debit
2026-04-01,Salary Credit - TechCorp Solutions,77000,Credit
2026-04-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-04-03,HDFC Home Loan EMI April,18500,Debit
2026-04-04,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-04-05,BigBasket Grocery Order,2450,Debit
2026-04-07,Airtel Broadband Bill April,999,Debit
2026-04-08,Jio Mobile Recharge,299,Debit
2026-04-08,Uber Ride - Office,260,Debit
2026-04-10,Netflix Subscription,649,Debit
2026-04-10,Zomato Order,490,Debit
2026-04-11,Spotify Premium,119,Debit
2026-04-11,Ola Cab,310,Debit
2026-04-12,Apollo Pharmacy,420,Debit
2026-04-13,Swiggy,350,Debit
2026-04-14,Amazon Prime Subscription,299,Debit
2026-04-14,Amazon.in - Mechanical Keyboard,8500,Debit
2026-04-15,Rapido Bike,80,Debit
2026-04-16,BESCOM Electricity Bill,1650,Debit
2026-04-16,BigBasket Weekly,1900,Debit
2026-04-18,Uber Ride,350,Debit
2026-04-19,Zomato Order,680,Debit
2026-04-20,Flipkart - Paperback Books,680,Debit
2026-04-20,Cult Fit Gym Membership,2000,Debit
2026-04-22,Blinkit,720,Debit
2026-04-22,Rapido,65,Debit
2026-04-23,BBMP Water Bill,310,Debit
2026-04-25,Starbucks Coffee,460,Debit
2026-04-26,KSRTC Bus Ticket - Mysore,180,Debit
2026-04-27,Restaurant - Anniversary Dinner,4500,Debit
2026-04-28,Udemy Course - Advanced React,1200,Debit
2026-05-01,Salary Credit - TechCorp Solutions,77000,Credit
2026-05-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-05-03,HDFC Home Loan EMI May,18500,Debit
2026-05-04,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-05-05,BigBasket Grocery Order,2650,Debit
2026-05-07,Airtel Broadband Bill May,999,Debit
2026-05-08,Jio Mobile Recharge,299,Debit
2026-05-08,Uber Ride,280,Debit
2026-05-10,Netflix Subscription,649,Debit
2026-05-10,Zomato Order - Dinner,520,Debit
2026-05-10,Zomato Order - Dinner,520,Debit
2026-05-10,Apollo Pharmacy,680,Debit
2026-05-11,Spotify Premium,119,Debit
2026-05-12,Ola Cab,420,Debit
2026-05-13,Swiggy,420,Debit
2026-05-14,Amazon Prime Subscription,299,Debit
2026-05-15,BESCOM Electricity Bill,1890,Debit
2026-05-15,Amazon.in - Ergonomic Office Chair,12000,Debit
2026-05-15,Rapido Bike,75,Debit
2026-05-16,BigBasket Weekly,2100,Debit
2026-05-17,Coursera - Data Science Certification,2000,Debit
2026-05-18,Uber Ride,380,Debit
2026-05-19,Zomato Order,750,Debit
2026-05-20,Flipkart - Wireless Earphones,1800,Debit
2026-05-22,Blinkit,850,Debit
2026-05-22,Cult Fit Gym Membership,2000,Debit
2026-05-22,Rapido,90,Debit
2026-05-25,Starbucks Coffee,490,Debit
2026-05-25,BBMP Water Bill,280,Debit
2026-05-27,IndiGo Airlines - Bengaluru to Mumbai,5500,Debit
2026-05-28,Restaurant - Colleague Farewell,2800,Debit
2026-06-01,Salary Credit - TechCorp Solutions,77000,Credit
2026-06-02,Freelance Payment - Website Project,15000,Credit
2026-06-03,Monthly Rent - Koramangala Apartment,22000,Debit
2026-06-03,HDFC Home Loan EMI June,18500,Debit
2026-06-03,Groww SIP - Nifty 50 Index Fund,5000,Debit
2026-06-03,Uber Ride - Office,310,Debit
2026-06-03,Zomato Order,580,Debit
